H 0 Pos=(2,5,3) Data=(0,1,-1) Life=1 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=1 Cli=0 E=0
H 0 Pos=(3,5,2) Data=(4,5,-1) Life=7 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=16 Cli=0 E=0
H 0 Pos=(1,5,4) Data=(6,7,-1) Life=7 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=16 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=17 Cli=0 E=0
H 0 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=17 Cli=0 E=0
H 0 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=17 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=18 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=18 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=18 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=19 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=19 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(1,5,4)0 Mov,Pat=0,0 Seq=19 Cli=0 E=0
H 0 Pos=(1,5,4) Data=(10,0,-1) Life=19 Nxt=(0,-1,0) Col=(2,5,3)-2 Mov,Pat=0,0 Seq=19 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(1,5,4)0 Mov,Pat=0,0 Seq=20 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=20 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=20 Cli=0 E=0
H 0 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(-1,0,1) Col=(1,4,4)-2 Mov,Pat=0,0 Seq=20 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=21 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=21 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=21 Cli=0 E=0
H 0 Pos=(0,5,5) Data=(10,0,-1) Life=20 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=21 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=22 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=22 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=22 Cli=0 E=0
H 0 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=22 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=23 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=23 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=23 Cli=0 E=0
H 0 Pos=(0,5,5) Data=(10,0,-1) Life=20 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=23 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=24 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=24 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=24 Cli=0 E=0
H 0 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=24 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=25 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=25 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=25 Cli=0 E=0
H 0 Pos=(0,5,5) Data=(10,0,-1) Life=20 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=25 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=26 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=26 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=26 Cli=0 E=0
H 0 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=26 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=27 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=27 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=27 Cli=0 E=0
H 0 Pos=(0,5,5) Data=(10,0,-1) Life=20 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=27 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=28 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=28 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=28 Cli=0 E=0
H 0 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=28 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=29 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=29 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=29 Cli=0 E=0
H 0 Pos=(0,5,5) Data=(10,0,-1) Life=20 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=29 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=30 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=30 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=30 Cli=0 E=0
H 0 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=30 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=31 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=31 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=31 Cli=0 E=0
H 1 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=31 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=32 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=32 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=32 Cli=0 E=0
H 1 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=32 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=33 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=33 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=33 Cli=0 E=0
H 1 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=33 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=34 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=34 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=34 Cli=0 E=0
H 1 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=34 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=35 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=35 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=35 Cli=0 E=0
H 1 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=35 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=36 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=36 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=36 Cli=0 E=0
H 1 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=36 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=37 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=37 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=37 Cli=0 E=0
H 1 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=37 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=38 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=38 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=38 Cli=0 E=0
H 1 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=38 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=39 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=39 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=39 Cli=0 E=0
H 1 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=39 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=40 Cli=0 E=0
H 1 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=40 Cli=0 E=0
H 1 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=40 Cli=0 E=0
H 1 Pos=(1,5,4) Data=(10,0,-1) Life=20 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=40 Cli=0 E=0
